id,nome_escola,bairro,logradouro,latitude,longitude,tipo_escola,numero_logradouro,quantidade_materiais,subprefeitura
587,ALMIRANTE TAMANDARE,VIDIGAL,AVENIDA PRESIDENTE JOAO GOULART ,-22.9937,-43.23558,EM,296,336,ZONA SUL
653,LUCIA MIGUEL PEREIRA,SAO CONRADO,RUA MARTAGAO GESTEIRA S/NDEG,-22.99742,-43.27218,EM,nan,159,ZONA SUL
226,AFRANIO PEIXOTO,ANDARAI,RUA FERREIRA PONTES,-22.92685,-43.25491,EM,328,164,GRANDE TIJUCA
126,DUQUE DE CAXIAS,GRAJAU,RUA MAL. JOFRE,-22.91854,-43.26509,EM,74,399,GRANDE TIJUCA
157,SARMIENTO,ENGENHO NOVO,RUA VINTE QUATRO DE MAIO ,-22.90303,-43.26788,EM,931,350,ZONA NORTE
117,CHANCELER WILLY BRANDT,JACARE,RUA ALVARO SEIXAS ,-22.89418,-43.26385,CIEP,S/N,457,ZONA NORTE
259,PERNAMBUCO,MARIA DA GRACA,RUA CONDE DE AZAMBUJA ,-22.88418,-43.26262,EM,579,158,ZONA NORTE
351,VINICIUS DE MORAES,JACARE,AVENIDA DOM HELDER CAMARA ,-22.88532,-43.2541,CIEP,1715,489,ZONA NORTE
422,ALBINO SOUZA CRUZ,MANGUINHOS,AVENIDA DOS DEMOCRATICOS ,-22.88099,-43.25325,EM,268,123,ZONA NORTE
260,PROFESSOR JOSUE DE CASTRO,BONSUCESSO,AVENIDA BRASIL 4040 RUA DA VITORIA,-22.87374,-43.24071,EM,nan,'397',ZONA NORTE
118,ELIS REGINA,BONSUCESSO,RUA PRINCIPAL ,-22.85783,-43.24045,CIEP,S/N,210,ZONA NORTE
121,DILERMANDO CRUZ,RAMOS,AVENIDA TEIXEIRA DE CASTRO,-22.85387,-43.25245,EM,407,167,ZONA NORTE
